review_id,review_content,expected_sentiment,expected_category,expected_urgency,note
G0118,说一下，顺丰发货隔天就到了快递员态度很好,正面,物流配送,1,变体: 快递速度好评
G0119,说一下，鞋底太硬了走路脚疼不舒适,负面,产品质量,2,变体: 舒适度差-中优
G0120,物流暴力运输鞋盒都压扁了。,负面,物流配送,2,变体: 暴力运输
G0121,说一下，给爸爸买的他说很舒服走路不累了,正面,产品质量,1,变体: 送礼满意
G0122,回购的第二双了给家里老人也买了一双，就这样,正面,产品质量,1,变体: 行为暗示满意（回购）
G0123,好，就这样,中性,无效评论,1,变体: 单字评价
G0124,昨天刚买今天活动就降价了80块太坑了。,负面,价格争议,2,变体: 活动降价
G0125,。。。。。。。,中性,无效评论,1,变体: 纯符号
G0126,鞋子本身质量没毛病但是刚买就参加活动降了80，就这样,混合,价格争议,2,变体: 产品好降价快
G0127,说一下，五星好评穿了三天鞋底掉了客服已读不回太棒了,负面,产品质量,3,变体: 反讽-五星差评
G0128,掉色严重把袜子都染红了，就这样,负面,产品质量,2,变体: 掉色-中优
G0129,掉色严重把袜子都染红了！,负面,产品质量,2,变体: 掉色-中优
G0130,还行吧一般般没什么特别的，就这样,中性,产品质量,1,变体: 一般评价
G0131,说一下，物流很快鞋子也很好客服也很耐心完美的一次购物,正面,产品质量,1,变体: 多维度全正面
G0132,说一下，物流暴力运输鞋盒都压扁了,负面,物流配送,2,变体: 暴力运输
G0133,还没穿先评价一下过几天追评，就这样,中性,产品质量,1,变体: 待追评
G0134,发的根本不是我要的颜色发错货了，就这样,负面,物流配送,2,变体: 发错货
G0135,售后处理很快有问题马上就解决了！,正面,服务态度,1,变体: 售后效率好评
G0136,说一下，鞋子好看但磨脚穿着不太舒服,混合,产品质量,2,变体: 好看但磨脚
G0137,说一下，颜色很正跟图片一模一样很喜欢,正面,产品质量,1,变体: 色差无/满意
G0138,谢谢商家让我体验了一次什么叫花钱买教训！,负面,产品质量,2,变体: 反讽-感谢体
G0139,鞋子有刺鼻气味闻着头晕。,负面,产品质量,3,变体: 有害气味-高优/红线
G0140,说一下，还行吧一般般没什么特别的,中性,产品质量,1,变体: 一般评价
G0141,顺丰发货隔天就到了快递员态度很好，就这样,正面,物流配送,1,变体: 快递速度好评
G0142,好！,中性,无效评论,1,变体: 单字评价
G0143,刚收到还没穿过看起来还行希望耐穿吧。,中性,产品质量,1,变体: 未使用
G0144,说一下，颜色好看质量可以就是发货实在太慢了,混合,物流配送,2,变体: 产品好物流慢
G0145,说一下，不错,中性,无效评论,1,变体: 模糊好评
G0146,发的根本不是我要的颜色发错货了，就这样,负面,物流配送,2,变体: 发错货
G0147,说一下，谢谢商家让我体验了一次什么叫花钱买教训,负面,产品质量,2,变体: 反讽-感谢体
G0148,物流慢客服差鞋子还有质量问题三重打击，就这样,负面,产品质量,2,变体: 多维度全负面
G0149,承诺48小时发货结果拖了5天。,负面,物流配送,2,变体: 承诺未兑现
G0150,穿了一个月了来追评质量确实不错很耐穿！,正面,产品质量,1,变体: 追评正面
G0151,孩子穿了脚上起了红疹怀疑材料过敏！,负面,产品质量,3,变体: 材质过敏-高优
G0152,说一下，好評好評好評,中性,无效评论,1,变体: 繁体重复
G0153,给爸爸买的他说很舒服走路不累了，就这样,正面,产品质量,1,变体: 送礼满意
G0154,鞋子很轻跑步穿特别合适透气好！,正面,产品质量,1,变体: 功能性好评
G0155,还没穿先评价一下过几天追评，就这样,中性,产品质量,1,变体: 待追评
G0156,磨脚后跟每次穿都起泡设计缺陷！,负面,产品质量,2,变体: 磨脚
G0157,说一下，说是真皮其实是人造革虚假宣传欺骗消费者,负面,产品质量,3,变体: 虚假宣传-高优
G0158,不错，就这样,中性,无效评论,1,变体: 模糊好评
G0159,鞋子本身质量没毛病但是刚买就参加活动降了80。,混合,价格争议,2,变体: 产品好降价快
G0160,客服态度特别差问什么都是自动回复，就这样,负面,服务态度,2,变体: 客服态度差
G0161,说一下，昨天刚买今天活动就降价了80块太坑了,负面,价格争议,2,变体: 活动降价
G0162,说一下，发货太慢了等了十天才收到,负面,物流配送,2,变体: 发货慢
G0163,答应了退款却一直不处理拖了两周，就这样,负面,服务态度,2,变体: 退款拖延
G0164,答应了退款却一直不处理拖了两周。,负面,服务态度,2,变体: 退款拖延
G0165,说是真皮其实是人造革虚假宣传欺骗消费者！,负面,产品质量,3,变体: 虚假宣传-高优
G0166,性价比很高这个价格买到这个品质很值！,正面,价格争议,1,变体: 性价比正面
G0167,整体还行物流快但客服态度需要改善，就这样,混合,服务态度,2,变体: 物流好客服差
G0168,鞋底防滑太差了雨天摔了一跤，就这样,负面,产品质量,3,变体: 防滑安全-高优
G0169,好。,中性,无效评论,1,变体: 单字评价
G0170,发的根本不是我要的颜色发错货了！,负面,物流配送,2,变体: 发错货
G0171,昨天刚买今天活动就降价了80块太坑了！,负面,价格争议,2,变体: 活动降价
G0172,说一下，性价比很高这个价格买到这个品质很值,正面,价格争议,1,变体: 性价比正面
G0173,质量不错穿着舒服但价格有点贵性价比不高！,混合,价格争议,1,变体: 质好价贵
G0174,做工精细没有线头材质手感很好，就这样,正面,产品质量,1,变体: 细节好评
G0175,客服态度很好耐心解答了我的问题。,正面,服务态度,1,变体: 客服正面
G0176,说一下，穿了一周鞋底就开胶了质量太差,负面,产品质量,2,变体: 开胶-中优
G0177,颜色好看质量可以就是发货实在太慢了。,混合,物流配送,2,变体: 产品好物流慢
G0178,说一下，呵呵就当买个教训吧,负面,产品质量,2,变体: 反讽-呵呵体
G0179,鞋子有刺鼻气味闻着头晕，就这样,负面,产品质量,3,变体: 有害气味-高优/红线
G0180,线头很多感觉像残次品做工太粗糙！,负面,产品质量,2,变体: 做工粗糙
G0181,鞋底太硬了走路脚疼不舒适。,负面,产品质量,2,变体: 舒适度差-中优
G0182,说一下，穿了一个月了来追评质量确实不错很耐穿,正面,产品质量,1,变体: 追评正面
G0183,孩子穿了脚上起了红疹怀疑材料过敏。,负面,产品质量,3,变体: 材质过敏-高优
G0184,答应了退款却一直不处理拖了两周。,负面,服务态度,2,变体: 退款拖延
G0185,说一下，鞋子本身质量没毛病但是刚买就参加活动降了80,混合,价格争议,2,变体: 产品好降价快
G0186,五星好评穿了三天鞋底掉了客服已读不回太棒了！,负面,产品质量,3,变体: 反讽-五星差评
G0187,好！,中性,无效评论,1,变体: 单字评价
G0188,磨脚后跟每次穿都起泡设计缺陷。,负面,产品质量,2,变体: 磨脚
G0189,快递把包裹弄丢了又重新补发等了一周！,负面,物流配送,2,变体: 丢件
G0190,质量不错穿着舒服但价格有点贵性价比不高，就这样,混合,价格争议,1,变体: 质好价贵
G0191,说一下，呵呵就当买个教训吧,负面,产品质量,2,变体: 反讽-呵呵体
G0192,鞋子很轻跑步穿特别合适透气好，就这样,正面,产品质量,1,变体: 功能性好评
G0193,说一下，给爸爸买的他说很舒服走路不累了,正面,产品质量,1,变体: 送礼满意
G0194,说一下，鞋底太硬了走路脚疼不舒适,负面,产品质量,2,变体: 舒适度差-中优
G0195,好，就这样,中性,无效评论,1,变体: 单字评价
G0196,说一下，价格降太快了买完三天就降价50块,负面,价格争议,2,变体: 短期降价
G0197,说一下，磨脚后跟每次穿都起泡设计缺陷,负面,产品质量,2,变体: 磨脚
G0198,说一下，。。。。。。,中性,无效评论,1,变体: 纯符号
G0199,整体还行物流快但客服态度需要改善。,混合,服务态度,2,变体: 物流好客服差
G0200,回购的第二双了给家里老人也买了一双。,正面,产品质量,1,变体: 行为暗示满意（回购）
